id,stats_id,cbs_id,fleaflicker_id,nfl_id,espn_id,fftoday_id,numfire_id,fantasypro_id,fantasydata_id,fantasynerd_id,rts_id,fantasypro_num_id,gsis_id,sleeper_id
10718,25760,1621321,8604,2532926,14888,12325,isaiah-pead,isaiah-pead,14421,1856,13967,,00-0029626,1206
10719,25715,1630860,8381,2533038,14907,12280,justin-blackmon,justin-blackmon,14019,1947,13922,,00-0029707,1114
10720,25730,1632385,8622,2532977,14909,12295,kendall-wright,kendall-wright,13957,1961,13937,,00-0029708,1097
10721,25723,1633109,8385,2532841,14908,12288,michael-floyd,michael-floyd,14478,1836,13930,,00-0029638,1219
10722,25755,1686006,8422,2533039,14912,12320,alshon-jeffery,alshon-jeffery,14187,1895,13962,11199,00-0029137,1149
10723,25793,1664646,8432,2533040,14922,12357,mohamed-sanu,mohamed-sanu,13878,1875,14000,11200,00-0029632,1071
10725,25773,1679976,8542,2533533,14911,12337,rueben-randle,reuben-randle,14242,1799,13980,,00-0029262,1164
10729,25802,1673733,8493,2532865,14924,12366,t-y-hilton,ty-hilton,14005,1937,14009,11206,00-0029608,1110
10730,25778,1631106,8484,2532930,14969,12342,devier-posey,devier-posey,13981,1928,,,00-0029673,1104
10734,25828,1632252,8525,2532978,14918,12392,jarius-wright,jarius-wright,14465,1923,14035,,00-0029572,1215
10735,25743,1687422,8605,2532933,14914,12308,brian-quick,brian-quick,14424,1861,13950,,00-0029640,1208
10736,25806,1707637,8601,2535634,15078,12370,chris-givens,chris-givens,14405,1859,14013,,00-0029614,1201
10737,25810,1630448,8437,2532790,15062,12374,travis-benjamin,travis-benjamin,13887,1883,14017,11214,00-0029269,1077
10738,25876,1631804,8429,2532884,15072,12440,marvin-jones,marvin-jones,13870,1872,14083,11215,00-0029293,1067
10742,25774,1630216,8485,2533046,14901,12338,dwayne-allen,dwayne-allen,13987,1940,13981,,00-0029689,1105
10743,25744,1244492,8490,2532838,14900,12309,coby-fleener,coby-fleener,13997,1941,13951,,00-0029697,1107
10744,25820,1631427,8576,2532853,14904,12384,ladarius-green,ladarius-green,14122,1833,14027,,00-0029275,1139
10747,25826,1707633,8426,2533047,14902,12390,orson-charles,orson-charles,13861,1876,14033,,00-0029414,1065
10749,25728,1620606,8577,2532870,14926,12293,melvin-ingram,melvin-ingram,14128,,,11226,00-0029249,1141
10750,25738,1631896,8475,2533048,14929,12303,nick-perry,nick-perry,14294,,,,00-0029408,1177
10752,25748,1262880,8495,2532801,14952,12313,andre-branch,andre-branch,14021,,,,00-0029600,1116
10753,25731,1971327,8531,2533538,14927,12296,chandler-jones,chandler-jones,13749,2568,,11230,00-0029585,1038
10754,25736,1619959,8482,2533049,14936,12301,whitney-mercilus,whitney-mercilus,13977,,,11231,00-0029643,1103
10755,25769,1635785,8561,2532825,14959,12528,vinny-curry,vinny-curry,13722,,,11232,00-0029412,1028
10759,25761,1631028,8476,2533052,14967,12326,jerel-worthy,jerel-worthy,14299,,,,00-0029257,1179
10760,25763,1272618,8433,2532954,14963,12328,devon-still,devon-still,13880,,,,00-0029258,1072
10761,25721,1717351,8504,2533435,14939,12286,dontari-poe,dontari-poe,14081,,,11238,00-0029688,1131
10762,25722,1700843,8560,2533051,14941,12287,fletcher-cox,fletcher-cox,13721,,,11239,00-0029653,1027
10763,25724,1664406,8599,2533050,14944,12289,michael-brockers,michael-brockers,14397,,,11240,00-0029630,1197
10764,25745,1632220,8403,2532964,14970,12310,courtney-upshaw,courtney-upshaw,13858,,,,00-0029252,1063
10765,25796,1619691,8573,2532952,14972,12360,sean-spence,sean-spence,13932,,,,00-0029594,1092
10766,25725,1779111,8591,2532871,14946,12290,bruce-irvin,bruce-irvin,14583,,,11243,00-0029193,1242
10768,25768,1769263,8610,2532828,14985,12333,lavonte-david,lavonte-david,14375,,,11245,00-0029562,1192
10769,25829,1245244,8631,2532940,15017,12393,keenan-robinson,keenan-robinson,14271,,,,00-0029545,1171
10770,25762,1630321,8616,2532804,14973,12327,zach-brown,zach-brown,13941,2098,,,00-0029566,1093
10772,26238,1691353,8683,2533058,15246,12685,vontaze-burfict,vontaze-burfict,13860,,,,00-0028912,1064
10773,25719,1679691,8416,2533056,14938,12284,luke-kuechly,luke-kuechly,14338,,,,00-0029248,1181
10774,25735,1673258,8530,2533057,14933,12300,donta-hightower,donta-hightower,13748,,,11251,00-0029669,1037
10775,25757,1631476,8597,2532966,14979,12322,bobby-wagner,bobby-wagner,14534,,,11252,00-0029255,1233
10776,25920,1272213,8518,2532814,15023,12484,audie-cole,audie-cole,14442,,,,00-0029578,1210
10777,25716,1679957,8447,2533059,14943,12281,morris-claiborne,morris-claiborne,14144,,,,00-0029676,1145
10778,25727,1691421,8430,2533060,14940,12292,dre-kirkpatrick,dre-kirkpatrick,13871,,,11255,00-0029560,1068
10779,25749,1620533,8602,2532875,14974,12314,janoris-jenkins,janoris-jenkins,14412,,,11256,00-0029681,1203
10782,25717,1632196,8609,2532789,14932,12282,mark-barron,mark-barron,14635,,,,00-0029670,1255
10783,25739,1265468,8523,2532948,14945,12304,harrison-smith,harrison-smith,14461,,,11260,00-0029606,1213
10784,25877,1621494,8428,2532869,15085,12441,george-iloka,george-iloka,13868,,,11261,00-0029215,1066
