Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
95,14315,"Dulin, Ashton",IND,WR,50.5,6.8,26.9,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,17.0,0.0,333.0,0.0,6.5,36.4
96,13066,"Raymond, Kalif",CHI,WR,46.0,4.6,26.6,306.0,0.5,0.3,0.0,0.2,0.0,0.0,0.0,1.2,0.6,0.2,0.1,16.0,0.0,125.0,0.0,3.6,35.4
97,17079,"Johnson, Tez",TBB,WR,29.2,4.1,16.5,177.0,2.5,0.0,1.0,1.5,0.0,0.0,0.0,0.7,0.4,0.1,0.0,24.0,0.0,55.0,0.0,2.5,35.3
98,17512,"Williams, Antonio",WAS,WR,48.3,5.4,25.7,299.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.2,0.1,14.0,0.0,86.0,0.3,2.7,35.3
99,17098,"Horton, Tory",SEA,WR,20.3,1.5,10.5,171.0,2.3,0.1,0.7,1.5,0.0,0.0,0.0,0.7,0.3,0.1,0.0,34.0,0.0,56.0,0.0,2.9,34.0
100,13418,"Bourne, Kendrick",ARI,WR,37.1,2.1,23.2,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.2,0.1,3.0,0.3,185.0,0.0,0.9,32.4
101,15755,"Dotson, Jahan",ATL,WR,54.9,7.1,24.2,283.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.1,0.6,0.2,0.1,2.0,0.0,43.0,0.0,3.0,30.7
102,17134,"Williams, Kyle",NEP,WR,21.2,1.0,8.2,164.0,2.4,0.0,0.3,0.0,1.4,0.0,0.7,0.7,0.3,0.1,0.0,-1.3,0.0,344.0,0.0,2.4,30.6
103,16451,"Shavers, Tyrell",BUF,WR,16.3,0.7,11.4,209.0,1.4,0.4,0.0,0.0,0.0,0.2,0.8,0.8,0.4,0.1,0.1,0.0,0.0,41.0,0.0,1.7,29.1
104,16191,"Tillman, Cedric",CLE,WR,40.7,6.5,17.6,210.0,0.9,0.2,0.7,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,18.0,0.0,34.0,0.0,4.2,27.9
