Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
81,14239,"Moreau, Foster",HOU,TE,25.0,3.5,16.7,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,2.0,0.0,0.0,0.0,2.8,13.4
82,16642,"Stover, Cade",HOU,TE,30.3,6.5,18.9,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,20.0,0.0,0.0,0.0,4.3,13.0
83,15795,"Kolar, Charlie",LAC,TE,10.6,1.3,6.1,92.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1.3,12.5
84,16645,"All, Erick",CIN,TE,21.5,1.7,13.9,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,2.0,0.0,0.0,0.0,0.0,12.4
85,17627,"Hibner, Matthew",BAL,TE,13.6,2.9,8.1,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,2.0,11.9
86,15334,"Long, Hunter",JAC,TE,11.0,1.3,7.5,53.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.3,11.8
87,16706,"Reiman, Tip",ARI,TE,22.1,3.8,15.0,117.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.4,1.8,11.6
88,15804,"Calcaterra, Grant",PHI,TE,20.2,2.4,13.3,98.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.5,11.4
89,16474,"Adkins, Nate",DEN,TE,18.6,2.7,12.6,97.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1.4,11.2
90,15909,"Mitchell, James",CAR,TE,12.2,1.6,8.8,89.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.6,10.6
