Rank,Player ID,Player Name,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
50,14095,"Johnson, Ty",BUF,RB,47.5,197.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.8,0.4,25.9,2.3,20.3,217.0,2.0,0.9,0.4,281.0,0.0,12.7,67.4
51,13146,"Conner, James",ARI,RB,79.7,352.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,1.4,0.7,29.3,4.2,22.6,148.0,1.4,0.6,0.3,25.0,0.5,6.8,66.9
52,16164,"Bigsby, Tank",PHI,RB,91.4,437.0,3.0,1.8,0.0,1.2,0.0,0.0,0.0,1.7,0.9,10.1,1.9,7.3,59.0,0.0,0.2,0.1,145.0,0.5,12.0,66.4
53,16610,"Wright, Jaylen",MIA,RB,85.4,361.0,3.2,3.2,0.0,0.0,0.0,0.0,0.0,1.4,0.7,16.1,2.1,10.1,90.0,0.5,0.4,0.2,11.0,1.2,11.3,64.6
54,15716,"Robinson, Brian",ATL,RB,107.6,433.0,2.5,1.3,0.9,0.3,0.0,0.0,0.0,1.7,0.9,13.7,2.9,10.2,54.0,0.0,0.2,0.1,225.0,0.6,6.6,62.5
55,15738,"Davis, Malik",DAL,RB,81.8,377.0,3.2,2.1,0.0,0.0,0.0,1.1,0.0,1.5,0.8,16.1,1.2,10.4,58.0,0.0,0.2,0.1,16.0,0.6,7.0,61.7
56,16166,"Tucker, Sean",TBB,RB,58.9,237.0,4.2,3.9,0.0,0.0,0.0,0.3,0.0,0.9,0.5,8.9,1.5,6.6,57.0,0.7,0.2,0.1,399.0,0.0,13.6,59.3
57,16432,"Wilson, Emanuel",SEA,RB,102.4,404.0,1.3,0.2,1.0,0.0,0.0,0.0,0.0,1.6,0.8,16.6,1.5,12.0,74.0,0.0,0.3,0.1,241.0,0.0,6.4,55.3
58,14086,"Hill, Justice",BAL,RB,39.7,209.0,1.4,0.5,0.4,0.0,0.0,0.0,0.5,0.8,0.4,30.1,1.9,23.6,179.0,1.3,0.7,0.4,190.0,0.0,4.4,55.1
59,13133,"Perine, Samaje",CIN,RB,72.4,301.0,2.4,2.1,0.0,0.0,0.3,0.0,0.0,1.2,0.6,23.2,0.8,17.9,119.0,0.0,0.5,0.2,346.0,1.5,7.7,53.5
60,13132,"Kamara, Alvin",NOS,RB,100.9,355.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,1.4,0.7,31.7,3.2,25.7,160.0,0.1,0.6,0.3,119.0,1.6,4.5,53.4
61,17047,"Sampson, Dylan",CLE,RB,68.5,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,35.8,4.9,28.6,221.0,1.4,0.9,0.4,254.0,1.2,3.5,52.8
62,15258,"Carter, Michael",TEN,RB,76.2,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.6,35.2,5.9,29.7,241.0,0.0,1.0,0.5,31.0,0.0,9.0,51.7
63,17482,"Washington Jr., Mike",LVR,RB,88.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,35.3,2.2,28.2,189.0,0.0,0.8,0.4,962.0,0.9,6.2,51.0
64,16603,"Davis, Ray",BUF,RB,53.7,225.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.4,18.9,3.1,14.8,146.0,1.2,0.6,0.3,1521.0,0.0,7.7,50.1
65,17055,"James, Jordan",SFO,RB,43.2,197.0,1.3,0.6,0.6,0.0,0.0,0.0,0.0,0.8,0.4,20.5,4.1,15.2,124.0,1.2,0.5,0.2,129.0,0.0,5.5,46.7
66,16178,"Mitchell, Keaton",LAC,RB,70.2,322.0,0.8,0.3,0.5,0.0,0.0,0.0,0.0,1.3,0.6,13.2,0.0,10.1,51.0,0.0,0.2,0.1,411.0,0.0,4.7,42.3
67,16596,"Allen, Braelon",NYJ,RB,72.4,255.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,19.2,1.6,13.4,98.0,0.2,0.4,0.2,93.0,0.3,6.9,42.0
68,17474,"Johnson, Emmett",KCC,RB,65.6,225.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.9,0.5,26.1,3.1,18.8,158.0,0.0,0.6,0.3,51.0,0.0,4.2,40.9
69,16752,"Davis, Isaiah",NYJ,RB,36.4,205.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.8,0.4,20.5,1.0,14.6,125.0,0.5,0.5,0.2,216.0,0.0,1.5,38.6
